Code,Name,Latitude,Longitude,Google Place ID
33.04,Kab. Banjarnegara,-7.3794368,109.6163185,ChIJM1S1t2yqei4RgLpS43Z6AgM
33.02,Kab. Banyumas,-7.4832133,109.140438,ChIJ_bC8v0ZnZS4RYLpS43Z6AgM
33.25,Kab. Batang,-7.032551,109.7986045,ChIJy3z4YdAVcC4RYLtS43Z6AgM
33.16,Kab. Blora,-7.012244,111.3798928,ChIJZT7I_2dbdy4RALtS43Z6AgM
33.09,Kab. Boyolali,-7.4317773,110.6883536,ChIJEfJ_6-Jzei4RgLxS43Z6AgM
33.29,Kab. Brebes,-6.9591793,108.902683,ChIJn2LfV4mYby4RoLtS43Z6AgM
33.01,Kab. Cilacap,-7.6982991,109.023521,ChIJO9S-Co0MZS4RUAlT43Z6AgQ
33.21,Kab. Demak,-6.9238879,110.6645683,ChIJN5ZPBKfrcC4RwLxS43Z6AgM
33.15,Kab. Grobogan,-7.1541672,110.9506636,ChIJS1v8Jbu6cC4R8LpS43Z6AgM
33.20,Kab. Jepara,-6.582711,110.6786933,ChIJM33XVdcgcS4RQLtS43Z6AgM
33.13,Kab. Karanganyar,-7.6387228,111.0460407,ChIJjeJuQfUhei4RYLxS43Z6AgM
33.05,Kab. Kebumen,-7.6680559,109.6524575,ChIJMSwNBAW1ei4RkLpS43Z6AgM
33.24,Kab. Kendal,-7.0265442,110.1879106,ChIJZWycCNZncC4RoLxS43Z6AgM
33.10,Kab. Klaten,-7.657893,110.6645683,ChIJmaiTB2RBei4REFV6jbOoxHY
33.19,Kab. Kudus,-6.7726186,110.8791343,ChIJj7tPBjLFcC4RMLtS43Z6AgM
33.08,Kab. Magelang,-7.4305237,110.2832217,ChIJTeBvtNeIei4RwLpS43Z6AgM
33.18,Kab. Pati,-6.7449635,111.0460407,ChIJlawfoIfTcC4RILtS43Z6AgM
33.26,Kab. Pekalongan,-7.0517128,109.6163185,ChIJLxWNvQUfcC4RcLtS43Z6AgM
33.27,Kab. Pemalang,-7.0599422,109.4259114,ChIJIZuGk1rdby4RgLtS43Z6AgM
33.03,Kab. Purbalingga,-7.3058578,109.4259114,ChIJcc4bJ0D4by4RcLpS43Z6AgM
33.06,Kab. Purworejo,-7.6964509,109.9989416,ChIJld6cPmbqei4RoLpS43Z6AgM
33.17,Kab. Rembang,-6.8082115,111.4275888,ChIJUYyvjU09dy4RELtS43Z6AgM
33.22,Kab. Semarang,-7.1764785,110.4738762,ChIJzQZQckSCcC4RsLxS43Z6AgM
33.14,Kab. Sragen,-7.43027,111.0091855,ChIJD2_qrlAEei4R4LpS43Z6AgM
33.11,Kab. Sukoharjo,-7.6483506,110.8552919,ChIJ079JS2s8ei4RULxS43Z6AgM
33.28,Kab. Tegal,-6.9902371,109.140438,ChIJ5d6pL2yVby4RkLtS43Z6AgM
33.23,Kab. Temanggung,-7.2748721,110.0891894,ChIJWeUACVF3cC4RULtS43Z6AgM
33.12,Kab. Wonogiri,-7.814734,110.9246587,EmVKbC4gS2FiLiBOby4yLCBTYWJnZ3JhaGFuLCBHaXJpcHVyd28sIEtlYy4gV29ub2dpcmksIEthYnVwYXRlbiBXb25vZ2lyaSwgSmF3YSBUZW5nYWggNTc2MTIsIEluZG9uZXNpYSIwEi4KFAoSCUkPS3s2LnouEa7xfa8mF6s8EAIqFAoSCS88oIc2LnouEZOqaDvug5VV
33.07,Kab. Wonosobo,-7.3632094,109.9001796,ChIJE3Uv9oKhei4RsLpS43Z6AgM
33.71,Kota Magelang,-7.4797342,110.2176941,ChIJgfNuc12Pei4RJGyWxI5dZKA
33.75,Kota Pekalongan,-6.8898362,109.6745916,ChIJE_6QpCwkcC4RtowlaxKKxsA
33.73,Kota Salatiga,-7.3305234,110.5084366,ChIJaZwsaX54ei4RLEbEoCM-pfY
33.74,Kota Semarang,-6.9818006,110.4120729,ChIJTQINP02LcC4R8rlc2rkyBB4
33.72,Kota Surakarta,-7.5695177,110.8250266,ChIJ-56wXYUWei4R-aR18v3bwqY
33.76,Kota Tegal,-6.8588473,109.1047663,ChIJKT5jld-5by4RwKryRd0jqQs
